Referência;;Cor;;Tamanho;Peça Boa
REST0043;REGATA CANELADA ;11-0601;BRANCO (Bright White TC);GG;7,8904E+12
;;;;;
REST0043;REGATA CANELADA ;19-0000;PRETO (Raven TC);PP;7,8904E+12
;;;;;
REST0043;REGATA CANELADA ;19-0000;PRETO (Raven TC);P;7,8904E+12
;;;;;
REST0043;REGATA CANELADA ;19-0000;PRETO (Raven TC);M;7,8904E+12
;;;;;
REST0043;REGATA CANELADA ;19-0000;PRETO (Raven TC);G;7,8904E+12
;;;;;
REST0043;REGATA CANELADA ;19-0000;PRETO (Raven TC);GG;7,8904E+12
;;;;;
REST0044;KIMONO BARRADO;19-3810;AZUL (Eclipse TC);U;7,8904E+12
;;;;;
REST0045;CAMISA C/ BARRADO ;14-4214;AZUL Powder Blue TC;P;7,8904E+12
;;;;;
REST0045;CAMISA C/ BARRADO ;14-4214;AZUL Powder Blue TC;M;7,8904E+12
;;;;;
REST0045;CAMISA C/ BARRADO ;14-4214;AZUL Powder Blue TC;G;7,8904E+12
;;;;;
REST0046;CALÇA COM BARRADO;14-4214;AZUL Powder Blue TC;P;7,8904E+12
;;;;;
REST0046;CALÇA COM BARRADO;14-4214;AZUL Powder Blue TC;M;7,8904E+12
;;;;;
REST0046;CALÇA COM BARRADO;14-4214;AZUL Powder Blue TC;G;7,8904E+12
;;;;;
REST0048;VESTIDO BORDADO;11-0601;BRANCO (Bright White TC);P;7,8904E+12
;;;;;
REST0048;VESTIDO BORDADO;11-0601;BRANCO (Bright White TC);M;7,8904E+12
;;;;;
REST0048;VESTIDO BORDADO;11-0601;BRANCO (Bright White TC);G;7,8904E+12
;;;;;
REST0048;VESTIDO BORDADO;11-0601;BRANCO (Bright White TC);GG;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;11-0602;BRANCO (off white);P;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;11-0602;BRANCO (off white);M;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;11-0602;BRANCO (off white);G;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;11-0602;BRANCO (off white);GG;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;19-0000;PRETO (Raven TC);P;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;19-0000;PRETO (Raven TC);M;7,8904E+12
;;;;;
REST0052;SAIA MID COM AMARRAÇAO;19-0000;PRETO (Raven TC);G;7,8904E+12
;;;;;
