Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
COORDENADO TOP E CALÇA - CAV250705 (VERMELHO (Mandarin Red TC) (17-1562), G),google / cpc,294,4,0,0,0
CALÇA WIDE AMASSADA - CSI250597 (AZUL (Bijou Blue TC) (18-3921), G),facebook / cpc01_adv,293,26,0,0,0
VESTIDO FLUIDO - CI261838 (BEGE (Ivory Cream TC) (13-1011), G),google / cpc,293,16,0,0,0
BLUSA COM RENDA - CI250850 (PRETO (Raven TC), G),google / organic,291,47,5,2,208.739999
VESTIDO CURTO COM BOTÕES - CI262048 (VERMELHO (Goji Berry (18-1659), G),google / cpc,290,5,0,0,0
VESTIDO MALHA COM PONTA - CAV261678 (BRANCO (off white) (11-0602), G),google / cpc,290,20,0,0,0
VESTIDO FRANZIDOS - CAV261614 (AMARELO (Daffodil TC) (14-0850), G),google / cpc,289,7,0,0,0
VESTIDO COURO COM DETALHES DE RENDA - CI261923 (BEGE (Curds Whey) (16-0920), G),facebook / cpc03_interesses_top/estados_all,287,1,0,0,0
VESTIDO COM DETALHE EM PEDRAS - CAV261668 (MARROM (Bronze Brown TC) (18-0937), G),google / cpc,286,8,0,0,0
VESTIDO CURTO RETO - CI261945 (BEGE (Jet Stream) (11-0605), G),facebook / cpc03_interesses_top/estados_all,286,0,0,0,0
VESTIDO ESTRUTURADO - CAV261631 (AMARELO (Old Gold TC) (15-0955), G),google / cpc,285,27,0,0,0
COORDENADO COLETE E SAIA - CI250964 (BEGE (Gray Sand TC), G),google / cpc,281,41,0,0,0
SAIA MIDI - CSI250630 (MARROM (Rooibos Tea TCX) (18-1355), G),(direct) / (none),278,12,0,0,0
VESTIDO FLUIDO - CI261838 (BEGE (Ivory Cream TC) (13-1011), G),INSTAGRAM / LINKTREE,277,15,0,0,0
VESTIDO CURTO COM BOTÕES - CI262048 (VERMELHO (Goji Berry (18-1659), G),INSTAGRAM / LINKTREE,275,2,0,0,0
VESTIDO MIDI COM FENDA - CI262057 (MARROM (TCX Sinopia Fresco (17-1317), G),INSTAGRAM / LINKTREE,275,7,0,0,0
VESTIDO CURTO MANGA LONGA RETILÍNEA - CRI250044 (NUDE (Toasted Almond TC) (14-1213), G),facebook / cpc01_adv,274,18,0,0,0
