Nome do item,Origem / mídia da sessão,Sessões,Itens vistos,Itens adicionados ao carrinho,Itens comprados,Receita do item
SHORT BORDADO - CV261459.2,edrone / email,1,0,0,0,0
SHORT BORDADO - CV261459.2,facebook / cpc01_adv,1,0,0,0,0
SHORT BORDADO - CV261459.2,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), G),(not set),1,0,0,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), G),ig / social,1,0,0,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), GG),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), GG),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), M),(direct) / (none),1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), M),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), M),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), P),google / cpc,1,0,1,0,0
SHORT BORDADO - CV261459.2 (Marshmallow TC (11-4300), PP),google / organic,1,0,1,0,0
SHORT BÁSICO (CV261265) - CV261264.2,INSTAGRAM / LINKTREE,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2,facebook / cpc01_adv,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), G),ig / social,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), G),l.wl.co / referral,1,0,0,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), P),(direct) / (none),1,0,1,0,0
SHORT BÁSICO (CV261265) - CV261264.2 (BEGE CLARO (Baby`s Breath) (11-0202), P),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT CASCATA DE STRASS - CAV250728 (AZUL (Faded Denim TC) (17-4021), 34),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT COM CINTO - CAV261760.2 (BRANCO (Marshmallow TC) (11-4300), G),duckduckgo / organic,1,0,0,0,0
SHORT COM CINTO - CAV261760.2 (BRANCO (Marshmallow TC) (11-4300), G),edrone / email,1,0,0,0,0
SHORT COM CINTO - CAV261760.2 (BRANCO (Marshmallow TC) (11-4300), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT COM CINTO PONTEIRAS - CV250317,edrone / email,1,0,0,0,0
SHORT COM CINTO PONTEIRAS - CV250317,google / cpc,1,0,0,0,0
SHORT COM CINTO PONTEIRAS - CV250317 (Pearl Gray TC (13-1106), G),facebook / cpc03_interesses_top/estados_all,1,1,0,0,0
SHORT COM CINTO PONTEIRAS - CV250317 (Pearl Gray TC (13-1106), G),google / organic,1,0,0,0,0
SHORT COM CINTO PONTEIRAS - CV250317 (Preto (Raven TC) (19-0000), P),(direct) / (none),1,0,1,0,0
SHORT COM CINTO PONTEIRAS - CV250317 (Preto (Raven TC) (19-0000), P),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT COM DETALHE E BOTÕES - CI250847,(direct) / (none),1,0,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847,google / cpc,1,0,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847,l.instagram.com / referral,1,0,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847 (VERMELHO (truscan Red TC) (18-1434), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,1,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847 (VERMELHO (truscan Red TC) (18-1434), G),facebook / cpc03_interesses_top/estados_all,1,1,0,0,0
SHORT COM DETALHE E BOTÕES - CI250847 (VERMELHO (truscan Red TC) (18-1434), G),l.instagram.com / referral,1,1,0,0,0
SHORT COM STRASS - CAV250711,google / organic,1,0,0,0,0
SHORT COM STRASS - CAV250711 (AZUL (Faded Denim TC) (17-4021), 34),(data not available),1,0,0,0,0
SHORT COM STRASS - CAV250711 (AZUL (Faded Denim TC) (17-4021), 34),IGShopping / Social,1,0,0,0,0
SHORT COM STRASS - CAV250711 (AZUL (Faded Denim TC) (17-4021), 34),googleads.g.doubleclick.net / referral,1,0,0,0,0
SHORT COM STRASS - CAV250711 (AZUL (Faded Denim TC) (17-4021), 34),instagram.com / referral,1,0,0,0,0
SHORT COM STRASS - CAV250711 (AZUL (Faded Denim TC) (17-4021), 36),(direct) / (none),1,0,1,0,0
SHORT CURTO - CAV261569,INSTAGRAM / LINKTREE,1,0,0,0,0
SHORT CURTO - CAV261569 (BRANCO (off white) (11-0602), G),duckduckgo / organic,1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936,(direct) / (none),1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936,edrone / email,1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936,facebook / cpc01_adv,1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936,google / cpc,1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936,google / organic,1,0,0,0,0
SHORT CURTO DE ALFAIATARIA - CI250936 (Lilas TC (16-1708), G),edrone / email,1,1,0,0,0
SHORT CURTO PU - CI251006,(not set),1,0,0,0,0
SHORT CURTO PU - CI251006,edrone / email,1,0,0,0,0
SHORT CURTO PU - CI251006,facebook / cpc01_adv,1,0,0,0,0
SHORT CURTO PU - CI251006 (Preto (Raven TC) (19-0000), G),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT CURTO PU - CI251006 (Preto (Raven TC) (19-0000), G),edrone / email,1,0,1,0,0
SHORT CURTO PU - CI251006 (Tea Leaf (18-0517), G),(not set),1,1,0,0,0
SHORT DE ALFAIATARIA - CAV250102,INSTAGRAM / LINKTREE,1,0,0,0,0
SHORT DE ALFAIATARIA - CAV250102,facebook / cpc01_adv,1,0,0,0,0
SHORT DE ALFAIATARIA - CAV250102,google / organic,1,0,0,0,0
SHORT DE ALFAIATARIA - CAV250102 (BRANCO (off white) (11-0602), G),INSTAGRAM / LINKTREE,1,1,0,0,0
SHORT DE ALFAIATARIA - CAV250657,google / organic,1,0,0,0,0
SHORT DE ALFAIATARIA - CAV250657 (BRANCO (off white) (11-0602), G),edrone / email,1,1,0,0,0
SHORT DE ALFAIATARIA - CAV250657 (BRANCO (off white) (11-0602), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT DE ALFAIATARIA - CI250882,edrone / email,1,0,0,0,0
SHORT DE ALFAIATARIA - CI250882,facebook / cpc01_adv,1,0,0,0,0
SHORT DE ALFAIATARIA - CI250882,google / cpc,1,0,0,0,0
SHORT DE ALFAIATARIA - CI250882 (BEGE(Sandshell TC) (13-0907), G),bing / organic,1,1,0,0,0
SHORT DE ALFAIATARIA - CI250882 (BEGE(Sandshell TC) (13-0907), G),edrone / email,1,4,0,0,0
SHORT DE ALFAIATARIA - CI250882 (BEGE(Sandshell TC) (13-0907), GG),(direct) / (none),1,0,2,0,0
SHORT DE ALFAIATARIA - CI250882 (BEGE(Sandshell TC) (13-0907), GG),bing / organic,1,0,1,0,0
SHORT DE ALFAIATARIA - CI250882 (BEGE(Sandshell TC) (13-0907), PP),INSTAGRAM / LINKTREE,1,0,0,1,116.970001
SHORT DE ALFAIATARIA - CI250882 (VERDE (Avocado TC) (18-0430), GG),google / cpc,1,0,1,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (BRANCO (off white) (11-0602), G),bing / organic,1,1,0,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (BRANCO (off white) (11-0602), G),google / organic,1,1,0,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (ROSE (Aurora Pink TC) (15-2217), G),(direct) / (none),1,0,1,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (ROSE (Aurora Pink TC) (15-2217), G),bing / organic,1,0,1,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (ROSE (Aurora Pink TC) (15-2217), G),edrone / email,1,0,0,0,0
SHORT DE ALFAIATARIA COM CINTO - CAV250515 (ROSE (Aurora Pink TC) (15-2217), G),google / cpc,1,0,1,0,0
SHORT DE LAISE - CV261538.2,facebook / cpc01_adv,1,0,0,0,0
SHORT DE LAISE - CV261538.2,google / cpc,1,0,0,0,0
SHORT DE LAISE - CV261538.2 (AZUL MARINHO (Navy Blazer) (19-3923), M),facebook / cpc01_adv,1,0,1,0,0
SHORT DE LAISE - CV261538.2 (BRANCO (Bright White TC) (11-0601), G),duckduckgo / organic,1,0,0,0,0
SHORT DE LAISE - CV261538.2 (BRANCO (Bright White TC) (11-0601), G),edrone / email,1,0,0,0,0
SHORT DE LAISE - CV261538.2 (BRANCO (Bright White TC) (11-0601), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), G),duckduckgo / organic,1,0,0,0,0
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), M),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), M),google / cpc,1,0,0,1,44.159999
SHORT DE LISTRA - CAV261625.2 (AMARELO (Lemon Drop TC) (12-0736), M),google / organic,1,0,0,0,0
SHORT DE LISTRA - CAV261625.2 (AZUL (Blue Yonder TC) (18-3937), M),google / cpc,1,0,1,0,0
SHORT DE VISCOSE - CV250403 (Shifting Sand TC (14-1210), G),(direct) / (none),1,0,0,0,0
SHORT DE VISCOSE - CV250403 (Shifting Sand TC (14-1210), G),google / organic,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2,google / organic,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2,l.wl.co / referral,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2,mail.google.com / referral,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), G),ig / social,1,0,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), G),l.wl.co / referral,1,1,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), G),mail.google.com / referral,1,1,0,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), PP),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT ESTAMPADO - CV261493.2 (CV26L012 FLORAL BLUR SHORT (CV261493.2) ALT - NEO STD (CC0139-E), PP),google / cpc,1,0,1,0,0
SHORT FLÚIDO - CV261450,facebook / cpc01_adv,1,0,0,0,0
SHORT FLÚIDO - CV261450,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT FLÚIDO - CV261450 (AZUL (Crown Blue TC) (19-3926), G),(direct) / (none),1,0,1,0,0
SHORT FLÚIDO - CV261450 (AZUL (Crown Blue TC) (19-3926), G),edrone / email,1,0,1,0,0
SHORT FLÚIDO - CV261450 (AZUL (Crown Blue TC) (19-3926), G),google / cpc,1,0,1,0,0
SHORT FLÚIDO - CV261450 (MARROM (Brunette TC) (19-1235), G),(direct) / (none),1,0,0,0,0
SHORT FLÚIDO - CV261450 (MARROM (Brunette TC) (19-1235), G),google / cpc,1,0,1,0,0
SHORT FLÚIDO - CV261450 (MARROM (Brunette TC) (19-1235), PP),google / organic,1,0,1,0,0
SHORT FLÚIDO - CV261450 (VERDE (Dusky Green TC) (17-0517), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT LINHO - CV261513.2 (MARROM (Tortoise Shell TC) (19-1241), M),INSTAGRAM / LINKTREE,1,0,2,0,0
SHORT LINHO - CV261513.2 (MARROM (Tortoise Shell TC) (19-1241), M),facebook / cpc02_aberto_top/estados_all,1,0,0,1,56.520001
SHORT LINHO - CV261513.2 (MARROM (Tortoise Shell TC) (19-1241), M),google / organic,1,0,1,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), G),facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), G),ig / social,1,0,0,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), G),l.wl.co / referral,1,0,0,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), GG),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), GG),google / organic,1,0,1,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), P),facebook / cpc01_adv,1,0,1,0,0
SHORT LINHO - CV261513.2 (Marshmallow TC (11-4300), P),google / cpc,1,0,1,0,0
SHORT LINHO - CV261513.2 (Old Gold TC (15-0955), G),(direct) / (none),1,0,2,1,118.96
SHORT LINHO - CV261513.2 (Old Gold TC (15-0955), M),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT LINHO - CV261513.2 (Old Gold TC (15-0955), P),(direct) / (none),1,0,1,0,0
SHORT LINHO - CV261513.2 (Old Gold TC (15-0955), P),facebook / cpc01_adv,1,0,0,1,80.729998
SHORT LISO - CV261370,(direct) / (none),1,0,0,0,0
SHORT LISO - CV261370,edrone / email,1,0,0,0,0
SHORT LISO - CV261370,facebook / cpc01_adv,1,0,0,0,0
SHORT LISO - CV261370 (AZUL (Classic Blue TC) (19-4052), M),google / organic,1,0,1,0,0
SHORT LISO - CV261370 (AZUL (Classic Blue TC) (19-4052), P),(direct) / (none),1,0,1,1,59.490002
SHORT LISO - CV261370 (AZUL (Classic Blue TC) (19-4052), P),edrone / email,1,0,1,0,0
SHORT LISO - CV261370 (Branco de Neve (off white) (11-0602), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT LISO - CV261370 (Branco de Neve (off white) (11-0602), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT LISO - CV261370 (LARANJA TANGERINA (Tangerine Tango) (17-1463), M),(direct) / (none),1,0,1,0,0
SHORT LISO - CV261370 (LARANJA TANGERINA (Tangerine Tango) (17-1463), M),google / organic,1,0,1,0,0
SHORT LISO - CV261370 (VERDE ÁGUA (Dusty Aqua Green TC) (12-5506), P),google / cpc,1,0,1,0,0
SHORT LISTRAS - CV261471.2,facebook / cpc01_adv,1,0,0,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), G),l.wl.co / referral,1,0,0,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), M),edrone / email,1,0,1,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), M),facebook / cpc01_adv,1,0,0,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), M),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT LISTRAS - CV261471.2 (CHÁ VERDE (Green Tea TC) (15-6428), M),google / organic,1,0,1,0,0
SHORT RISCA - CV250342 (ROSA ALAMANDA (16-3116), G),(direct) / (none),1,0,0,0,0
SHORT RISCA - CV250342 (ROSA ALAMANDA (16-3116), G),edrone / email,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261457.2,edrone / email,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261457.2,google / organic,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261457.2 (Bege concha de areia(Sandshell TC) (13-0907), G),(not set),1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261457.2 (Bege concha de areia(Sandshell TC) (13-0907), M),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261457.2 (Bege concha de areia(Sandshell TC) (13-0907), P),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261457.2 (Preto (Raven TC) (19-0000), GG),google / cpc,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261457.2 (Preto (Raven TC) (19-0000), P),(direct) / (none),1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261505 (AZUL (Bluejay TC) (17-4427), P),google / cpc,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Preto (Raven TC) (19-0000), G),edrone / email,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Preto (Raven TC) (19-0000), M),google / cpc,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Preto (Raven TC) (19-0000), M),google / organic,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Vanilla TC (12-0712), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Vanilla TC (12-0712), G),ig / social,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Vanilla TC (12-0712), G),l.wl.co / referral,1,0,0,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Vanilla TC (12-0712), M),INSTAGRAM / LINKTREE,1,0,1,0,0
SHORT SAIA ALFAIATARIA - CV261505 (Vanilla TC (12-0712), M),google / organic,1,0,1,0,0
SHORT SAIA COM PREGAS - CV250425,google / cpc,1,0,0,0,0
SHORT SAIA COM PREGAS - CV250425 (CISNE BRANCO (White Swan TC) (12-0000), G),google / cpc,1,1,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,INSTAGRAM / LINKTREE,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,carlotacostab2c.lojavirtualnuvem.com.br / referral,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,facebook / cpc01_adv,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,google / cpc,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2,google / organic,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),(data not available),1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,1,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),l.instagram.com / referral,1,0,0,0,0
SHORT SAIA COM RECORTES - CI261938.2 (MARROM (Chestnut TC) (19-1118), G),stats.tiendanube.com / referral,1,0,0,0,0
SHORT SAIA LINHO - CV250223,(direct) / (none),1,0,0,0,0
SHORT SAIA LINHO - CV250223,facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
SHORT SAIA LINHO - CV250223,google / organic,1,0,0,0,0
SHORT SAIA LINHO - CV250223,ig / paid,1,0,0,0,0
SHORT SAIA LINHO - CV250223,m.facebook.com / referral,1,0,0,0,0
SHORT SAIA LINHO - CV250223 (VERDE (Duffel Bag TC) (19-0415), PP),m.facebook.com / referral,1,0,1,0,0
SHORT SAIA LINHO - CV250223 (VERMELHO (Chinese Red TC) (18-1663), G),br.search.yahoo.com / referral,1,0,0,0,0
SHORT SAIA LINHO - CV250223 (VERMELHO (Chinese Red TC) (18-1663), G),facebook / cpc01_adv,1,0,0,0,0
SHORT SAIA LINHO - CV250223 (VERMELHO (Chinese Red TC) (18-1663), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,1,0,0,0
SHORT SAIA LINHO - CV250223 (VERMELHO (Chinese Red TC) (18-1663), G),l.instagram.com / referral,1,0,0,0,0
SHORT SAIA LINHO - CV250223 (VERMELHO (Chinese Red TC) (18-1663), G),m.facebook.com / referral,1,1,0,0,0
SHORT TWEED (CV261374) - CV261377.2,google / cpc,1,0,0,0,0
SHORT TWEED (CV261374) - CV261377.2,google / organic,1,0,0,0,0
SHORT TWEED (CV261374) - CV261377.2 (HORTENCIA (17-2619), G),google / cpc,1,2,0,0,0
SHORT TWEED (CV261374) - CV261377.2 (HORTENCIA (17-2619), G),google / organic,1,1,0,0,0
SHORTS ALFAIATARIA - CI262084,(direct) / (none),1,0,0,0,0
SHORTS ALFAIATARIA - CI262084 (MARROM (Indian Tan TC (17-1328), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
SHORTS SAIA XADREZ - CI250858,(direct) / (none),1,0,0,0,0
SHORTS SAIA XADREZ - CI250858 (Preto (Raven TC) (19-0000), G),edrone / email,1,0,0,0,0
SHORTS SAIA XADREZ - CI250858 (Preto (Raven TC) (19-0000), G),facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
SHORTS SAIA XADREZ - CI250858 (Preto (Raven TC) (19-0000), G),facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
T-SHIRT BORDADA - CI250795,facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
T-SHIRT BORDADA - CI250795,facebook / cpc03_interesses_top/estados_all,1,0,0,0,0
T-SHIRT BORDADA - CI250795 (AZUL (Della Robbia Blue TC) (16-4020), G),(direct) / (none),1,0,2,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), G),facebook / cpc02_aberto_top/estados_all,1,1,0,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), P),(direct) / (none),1,0,1,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), P),INSTAGRAM / LINKTREE,1,0,1,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), P),facebook / cpc01_adv,1,0,1,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), P),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
T-SHIRT BORDADA - CI250795 (BRANCO (off white) (11-0602), PP),google / organic,1,0,1,0,0
T-SHIRT BORDADA - CI250795 (MARROM (Rumba Red TC (19-1940), PP),google / organic,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971,facebook / cpc1_advantage+sugestões_all,1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), G),(not set),1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), G),duckduckgo / organic,1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), G),facebook / cpc01_adv aberto_best_sellers profundidade,1,1,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), G),facebook / cpc04_adv+sugestões_top/estados_OUTONO/INVERNO,1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), G),facebook / cpc1_advantage+sugestões_all,1,1,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), GG),INSTAGRAM / LINKTREE,1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), GG),edrone / email,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), GG),facebook / cpc01_adv,1,0,0,1,68.86
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), GG),facebook / cpc03_interesses_top/estados_all,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), M),INSTAGRAM / LINKTREE,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (BRANCO (Bright White TC), PP),facebook / cpc01_adv,1,0,0,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (PRETO (Raven TC), G),facebook / cpc01_adv,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (PRETO (Raven TC), P),edrone / email,1,0,1,0,0
T-SHIRT COM ESTAMPA LAÇO - CI250971 (PRETO (Raven TC), P),google / cpc,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1,(direct) / (none),1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1,bing / organic,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1,facebook / cpc01_adv+aberto_best_sellers+profundidade,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1 (LAVANDA BRILHO (Lavender Lustre TC) (16-3920), P),google / organic,1,0,1,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1 (Sunset Gold TC (13-0940), G),duckduckgo / organic,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1 (Sunset Gold TC (13-0940), G),facebook / cpc02_aberto_top/estados_all,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1 (Sunset Gold TC (13-0940), G),l.wl.co / referral,1,0,0,0,0
TOP ALFAIATARIA (CV261279) - CV261279.1 (Sunset Gold TC (13-0940), M),INSTAGRAM / LINKTREE,1,0,1,0,0
TOP ALFAIATARIA - CV250404,INSTAGRAM / LINKTREE,1,0,0,0,0
TOP ALFAIATARIA - CV250404 (Branco de Neve (off white) (11-0602), G),(direct) / (none),1,0,0,0,0
